,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
50,dinguiraye,GN,86.0,19,3,2.1,11.3,-10.7167,1677963859
51,les cayes,HT,80.76,60,30,12.93,18.2,-73.75,1677963860
52,busselton,AU,61.88,69,71,8.79,-33.65,115.3333,1677963861
53,hermanus,ZA,67.8,90,98,8.55,-34.4187,19.2345,1677963861
54,cape town,ZA,69.12,87,75,5.75,-33.9258,18.4232,1677963686
55,dunedin,NZ,54.81,84,96,3.0,-45.8742,170.5036,1677963646
56,okato,NZ,62.69,79,32,6.93,-39.2,173.8833,1677963863
57,vaini,TO,86.16,79,75,17.27,-21.2,-175.2,1677963864
58,saint-philippe,RE,76.59,88,100,3.74,-21.3585,55.7679,1677963865
59,east london,ZA,73.11,87,26,8.32,-33.0153,27.9116,1677963865
60,laguna,US,50.13,87,100,16.11,38.421,-121.4238,1677963866
61,muros,ES,47.68,78,0,4.27,42.7762,-9.0603,1677963867
62,husavik,IS,33.75,93,100,4.76,66.0449,-17.3389,1677963868
63,san patricio,US,85.15,35,0,12.84,28.017,-97.5169,1677963869
64,nchelenge,ZM,72.16,81,92,4.0,-9.3451,28.734,1677963870
65,turukhansk,RU,-3.77,98,100,10.67,65.8167,87.9833,1677963870
66,cherskiy,RU,-32.53,93,63,2.06,68.75,161.3,1677963871
67,namatanai,PG,75.92,89,100,6.44,-3.6667,152.4333,1677963872
68,bathsheba,BB,83.01,65,20,17.27,13.2167,-59.5167,1677963873
69,mayumba,GA,79.07,84,58,5.55,-3.432,10.6554,1677963874
70,sinnamary,GF,78.35,84,34,13.47,5.3833,-52.95,1677963875
71,nepa nagar,IN,80.96,35,75,4.36,21.4667,76.4,1677963876
72,vila franca do campo,PT,59.41,74,100,13.96,37.7167,-25.4333,1677963877
73,peravurani,IN,73.94,87,36,7.23,10.3,79.1833,1677963877
74,mezhdurechensk,RU,18.97,95,100,5.99,53.6942,88.0603,1677963878
75,kaitangata,NZ,52.48,77,72,3.85,-46.2817,169.8464,1677963878
76,bluff,NZ,50.81,67,80,7.76,-46.6,168.3333,1677963879
77,navrongo,GH,88.29,11,18,3.36,10.8956,-1.0921,1677963880
78,bambous virieux,MU,81.21,89,75,0.0,-20.3428,57.7575,1677963880
79,ketchikan,US,39.67,75,20,11.5,55.3422,-131.6461,1677963881
80,constanza,DE,38.77,76,85,11.01,47.6603,9.1758,1677963881
81,maridi,SS,81.72,35,99,3.49,4.9158,29.4742,1677963882
82,nouadhibou,MR,73.38,56,0,12.66,20.931,-17.0347,1677963883
83,blagoyevo,RU,-12.71,100,98,3.0,63.3667,47.9167,1677963884
84,gushi,CN,50.02,29,0,1.12,34.6425,109.5843,1677963884
85,georgetown,MY,78.73,81,20,9.22,5.4112,100.3354,1677963830
86,longyearbyen,SJ,4.84,66,75,20.71,78.2186,15.6401,1677963885
87,barrow,US,-30.98,97,75,9.22,71.2906,-156.7887,1677963859
88,narsaq,GL,48.42,87,38,4.76,60.9167,-46.05,1677963795
89,siderno,IT,46.33,86,69,8.23,38.2779,16.302,1677963886
90,lake cowichan,CA,35.73,98,100,5.1,48.825,-124.0546,1677963886
91,mitrofanovka,RU,33.51,72,97,15.75,49.9708,39.6939,1677963887
92,sioux lookout,CA,32.07,64,40,2.3,50.1001,-91.917,1677963887
93,guerrero negro,MX,63.64,52,0,14.45,27.9769,-114.0611,1677963888
94,grand gaube,MU,81.37,76,100,1.99,-20.0064,57.6608,1677963888
95,samur,RU,40.91,92,85,4.34,41.8253,48.486,1677963888
96,auki,SB,79.5,83,100,10.69,-8.7676,160.7034,1677963889
97,hofn,IS,37.04,77,100,5.99,64.2539,-15.2082,1677963889
98,vanimo,PG,76.68,91,100,8.84,-2.6741,141.3028,1677963890
99,ambon,ID,77.23,15,40,2.3,-3.6954,128.1814,1677963890
100,padang,ID,75.25,85,74,4.83,-0.9492,100.3543,1677963891
101,souillac,MU,79.18,89,75,0.0,-20.5167,57.5167,1677963892
102,jalu,LY,62.71,66,68,18.37,29.0331,21.5482,1677963892
103,tuktoyaktuk,CA,-29.2,68,20,5.75,69.4541,-133.0374,1677963893
104,bandarbeyla,SO,76.78,76,2,14.81,9.4942,50.8122,1677963893
105,atuona,PF,79.86,80,16,14.12,-9.8,-139.0333,1677963894
106,katsuura,JP,51.42,69,100,17.52,35.1333,140.3,1677963894
107,staraya poltavka,RU,31.64,82,100,13.02,50.4772,46.4814,1677963895
108,new norfolk,AU,60.93,74,100,0.96,-42.7826,147.0587,1677963895
109,ilembula,TZ,60.91,92,95,2.44,-8.9,34.5833,1677963896
110,carndonagh,IE,44.26,78,100,3.85,55.25,-7.2667,1677963897
111,acapulco,MX,85.82,62,0,8.05,16.8634,-99.8901,1677963897
112,ambilobe,MG,73.8,97,100,1.97,-13.2,49.05,1677963898
113,caraballeda,VE,89.85,62,20,5.75,10.6112,-66.8522,1677963898
114,helong,CN,27.27,84,4,4.94,42.5397,128.9972,1677963899
115,norman wells,CA,-12.96,70,40,18.41,65.282,-126.8329,1677963899
116,port blair,IN,80.64,83,40,2.3,11.6667,92.75,1677963900
117,westport,US,45.28,70,94,8.01,41.1415,-73.3579,1677963697
118,te anau,NZ,48.92,83,76,3.6,-45.4167,167.7167,1677963901
119,puerto ayora,EC,85.96,85,75,8.99,-0.7393,-90.3518,1677963901
120,college,US,-0.8,71,0,3.44,64.8569,-147.8028,1677963601
121,bad frankenhausen,DE,39.18,65,100,1.01,51.35,11.1,1677963902
122,novokizhinginsk,RU,26.76,72,100,8.01,51.6115,109.5917,1677963903
123,komsomolskiy,UZ,47.12,71,20,11.5,40.4272,71.7189,1677963904
124,huangmei,CN,53.96,48,0,1.68,30.1924,116.025,1677963904
125,port alfred,ZA,69.19,96,15,7.58,-33.5906,26.891,1677963905
126,avarua,CK,86.05,70,20,12.66,-21.2078,-159.775,1677963906
127,hasaki,JP,43.21,62,100,16.82,35.7333,140.8333,1677963856
128,hami,CN,43.77,30,36,7.2,42.8,93.45,1677963908
129,libreville,GA,81.77,84,66,10.2,0.3925,9.4537,1677963908
130,sokoto,NG,83.05,19,1,1.21,13.0609,5.239,1677963909
131,sisimiut,GL,24.31,86,6,4.74,66.9395,-53.6735,1677963910
132,butaritari,KI,80.92,78,99,7.4,3.0707,172.7902,1677963910
133,termoli,IT,47.79,78,78,7.61,41.9888,14.9895,1677963911
134,kodinar,IN,78.51,49,0,6.29,20.7903,70.7031,1677963912
135,cidreira,BR,74.77,90,71,7.52,-30.1811,-50.2056,1677963913
136,thompson,CA,19.56,68,100,5.75,55.7435,-97.8558,1677963644
137,ribeira grande,PT,61.2,72,75,23.02,38.5167,-28.7,1677963844
138,marstal,DK,37.31,74,72,16.98,54.8562,10.5173,1677963914
139,mar del plata,AR,68.83,76,20,11.5,-38.0023,-57.5575,1677963903
140,ilulissat,GL,37.42,65,40,2.3,69.2167,-51.1,1677963915
141,simao,CN,51.85,96,0,2.95,22.7886,100.9748,1677963916
142,grindavik,IS,40.95,100,75,5.75,63.8424,-22.4338,1677963917
143,erenhot,CN,34.38,29,61,10.4,43.6475,111.9767,1677963919
144,burgeo,CA,19.65,70,68,18.77,47.6167,-57.6152,1677963920
145,dalvik,IS,39.13,97,100,7.65,65.9702,-18.5286,1677963920
146,isangel,VU,80.69,82,50,6.17,-19.55,169.2667,1677963921
147,seddon,AU,72.86,73,0,19.57,-37.8068,144.8916,1677963922
148,nome,US,14.07,92,100,21.85,64.5011,-165.4064,1677963923
149,port macquarie,AU,65.89,80,2,3.71,-31.4333,152.9167,1677963924
150,aloleng,PH,73.47,75,15,5.99,16.1307,119.7824,1677963924
151,sao filipe,CV,73.45,63,1,8.01,14.8961,-24.4956,1677963925
152,kosh-agach,RU,-3.86,75,87,3.74,50.0,88.6667,1677963926
153,esperance,AU,65.41,65,97,15.75,-33.8667,121.9,1677963927
154,freeport,US,46.36,71,100,17.27,40.6576,-73.5832,1677963645
155,kaoma,ZM,66.58,89,39,1.59,-14.7833,24.8,1677963742
156,bethel,US,44.02,74,100,10.36,41.3712,-73.414,1677963928
157,elizabeth city,US,66.22,41,0,14.97,36.2946,-76.2511,1677963929
158,great yarmouth,GB,41.41,88,100,10.27,52.6083,1.7305,1677963930
159,vanavara,RU,13.08,92,100,11.72,60.34,102.2797,1677963931
160,saint-pierre,RE,77.58,88,75,2.3,-21.3393,55.4781,1677963931
161,vardo,NO,28.38,93,100,4.61,70.3705,31.1107,1677963932
162,kodiak,US,29.71,47,0,13.8,57.79,-152.4072,1677963933
163,lebu,CL,60.89,63,0,18.12,-37.6167,-73.65,1677963933
164,virginia beach,US,66.06,37,0,18.41,36.8529,-75.978,1677963927
165,columbus,US,55.36,54,20,10.36,39.9612,-82.9988,1677963935
166,luganville,VU,80.38,82,90,3.58,-15.5333,167.1667,1677963935
167,grafton,US,35.73,91,100,12.66,42.207,-71.6856,1677963936
168,ewa beach,US,80.55,59,20,10.36,21.3156,-158.0072,1677963937
169,mookane,BW,77.95,36,26,8.25,-23.688,26.6595,1677963938
170,ekhabi,RU,15.51,89,92,8.9,53.5102,142.9671,1677963939
171,spearfish,US,42.82,23,0,9.22,44.4908,-103.8594,1677963857
172,washington,US,40.33,59,100,2.01,47.5001,-120.5015,1677963939
173,adelaide,AU,67.73,68,0,6.91,-34.9333,138.6,1677963898
174,tagusao,PH,76.39,80,70,10.45,9.1924,117.8141,1677963941
175,bentiu,SS,86.09,11,15,5.86,9.2333,29.8333,1677963942
176,lorengau,PG,78.42,84,100,8.81,-2.0226,147.2712,1677963682
177,kudahuvadhoo,MV,81.05,75,58,11.99,2.6708,72.8944,1677963943
178,tuatapere,NZ,51.12,81,100,1.74,-46.1333,167.6833,1677963943
179,alta floresta,BR,81.84,84,53,3.58,-9.8756,-56.0861,1677963944
180,srednekolymsk,RU,-45.58,100,50,1.7,67.45,153.6833,1677963944
181,dwarka,IN,75.87,69,0,10.54,22.2394,68.9678,1677963945
182,dangriga,BZ,81.23,75,5,17.16,16.9692,-88.2321,1677963946
183,hovd,MN,23.86,40,100,10.6,48.0056,91.6419,1677963946
184,raychikhinsk,RU,16.7,91,21,6.89,49.7838,129.4121,1677963947
185,baranchinskiy,RU,14.5,99,100,3.18,58.1617,59.6991,1677963947
186,eureka,US,46.2,87,100,5.01,40.8021,-124.1637,1677963948
187,abbeville,FR,43.5,72,100,5.99,50.1,1.8333,1677963944
188,fairbanks,US,-0.78,74,54,2.93,64.8378,-147.7164,1677963785
189,niquero,CU,81.88,59,100,7.76,20.0431,-77.5828,1677963949
190,yantal,RU,13.37,90,77,7.92,56.8471,105.2542,1677963950
191,brainerd,US,39.49,56,0,11.5,46.358,-94.2008,1677963950
192,vostok,RU,11.01,91,7,5.95,46.4856,135.8833,1677963951
193,los llanos de aridane,ES,64.15,92,40,3.44,28.6585,-17.9182,1677963951
194,lavrentiya,RU,10.24,95,100,8.81,65.5833,-171.0,1677963952
195,nichinan,JP,49.26,76,4,7.36,31.6,131.3667,1677963746
196,chuy,UY,75.99,62,43,8.12,-33.6971,-53.4616,1677963953
197,belaya gora,RU,-43.35,100,88,2.1,68.5333,146.4167,1677963953
198,kushiro,JP,26.94,86,21,6.42,42.975,144.3747,1677963954
199,ust-ilimsk,RU,15.15,88,100,11.23,58.0006,102.6619,1677963954
200,katangli,RU,16.0,83,82,11.14,51.7102,143.2326,1677963955
201,skjervoy,NO,28.4,78,100,33.82,70.0311,20.9714,1677963955
202,porbandar,IN,78.98,46,1,6.62,21.6422,69.6093,1677963956
203,palmer,US,39.24,71,100,18.41,42.1584,-72.3287,1677963956
204,ust-karsk,RU,17.1,94,70,3.49,52.7011,118.8077,1677963957
205,esso,RU,-16.2,94,77,5.99,55.9333,158.7,1677963957
206,kjollefjord,NO,26.65,74,100,24.16,70.9457,27.3465,1677963958
207,moree,AU,68.74,67,2,8.77,-29.4667,149.85,1677963958
208,guane,CU,84.94,46,30,11.45,22.2025,-84.0875,1677963959
209,tres arroyos,AR,78.17,19,6,12.08,-38.3739,-60.2798,1677963959
210,birao,CF,79.77,11,37,6.8,10.2849,22.7882,1677963960
211,kahului,US,75.97,89,35,10.0,20.8947,-156.47,1677963759
212,saurimo,AO,65.77,97,100,3.4,-9.6608,20.3916,1677963960
213,keshod,IN,78.15,37,2,6.98,21.3,70.25,1677963961
214,nanfeng,CN,60.06,44,0,2.19,23.7434,111.7959,1677963962
215,qui nhon,VN,71.49,79,100,17.47,13.7667,109.2333,1677963963
216,beringovskiy,RU,0.81,93,100,14.7,63.05,179.3167,1677963963
217,panguna,PG,68.5,95,100,2.15,-6.3164,155.4848,1677963964
218,nizhniy kuranakh,RU,22.37,88,100,12.55,58.8353,125.4869,1677963923
219,salekhard,RU,-24.61,100,85,0.72,66.53,66.6019,1677963965
220,sulina,RO,45.52,77,13,12.28,45.1559,29.6536,1677963966
221,bulawayo,ZW,64.76,69,3,10.11,-20.15,28.5833,1677963967
222,cernesti,RO,32.5,79,11,1.9,47.5167,23.75,1677963968
223,port hedland,AU,80.65,78,99,5.75,-20.3167,118.5667,1677963969
224,faanui,PF,82.26,71,100,10.36,-16.4833,-151.75,1677963969
225,chapadinha,BR,77.94,89,87,3.58,-3.7417,-43.3603,1677963695
226,wladyslawowo,PL,31.48,51,79,18.66,54.7909,18.4009,1677963970
227,dingle,PH,74.52,86,84,10.63,10.9995,122.6711,1677963971
228,castro,BR,69.64,93,70,5.86,-24.7911,-50.0119,1677963972
229,toora-khem,RU,16.45,97,100,2.68,52.4675,96.11,1677963973
230,kapaa,US,80.58,77,75,11.5,22.0752,-159.319,1677963974
231,kodinsk,RU,14.47,91,100,9.75,58.6881,99.1844,1677963974
232,deniliquin,AU,69.78,65,0,7.76,-35.5333,144.9667,1677963975
233,zhirnovsk,RU,29.12,88,100,14.58,50.9845,44.7735,1677963976
234,devon,GB,38.68,75,20,3.33,50.75,-3.75,1677963797
235,hamilton,US,58.24,42,0,5.75,39.1834,-84.5333,1677963832
236,nantucket,US,37.51,93,100,29.93,41.2835,-70.0995,1677963925
237,rock sound,BS,77.72,69,81,5.93,24.9,-76.2,1677963978
238,kaeo,NZ,67.32,81,9,7.78,-35.1,173.7833,1677963979
239,iqaluit,CA,26.33,73,100,4.61,63.7506,-68.5145,1677963681
240,severo-kurilsk,RU,20.82,69,99,18.63,50.6789,156.125,1677963980
241,pisco,PE,78.85,65,0,6.91,-13.7,-76.2167,1677963981
242,olinda,BR,83.93,61,20,10.36,-8.0089,-34.8553,1677963767
243,port elizabeth,ZA,72.32,99,100,4.61,-33.918,25.5701,1677963982
244,cabedelo,BR,83.07,75,100,13.04,-6.9811,-34.8339,1677963983
245,klaksvik,FO,34.72,90,100,12.71,62.2266,-6.589,1677963984
246,madikeri,IN,63.41,44,0,4.45,12.4167,75.7333,1677963985
247,ostrovnoy,RU,9.75,91,100,8.1,68.0531,39.5131,1677963985
248,teya,RU,8.87,90,100,8.61,60.3778,92.6267,1677963986
249,skibbereen,IE,42.12,67,99,6.51,51.55,-9.2667,1677963986
250,bajil,YE,77.59,74,10,5.55,15.0584,43.2851,1677963987
251,erzin,TR,53.89,82,90,3.44,36.9559,36.2,1677963988
252,marawi,PH,65.7,94,47,1.14,7.9986,124.2928,1677963988
253,guantanamo,CU,83.77,51,99,10.92,20.1444,-75.2092,1677963737
254,durango,MX,76.26,5,0,5.79,24.8333,-104.8333,1677963782
255,victoria,HK,64.45,73,0,8.99,22.2855,114.1577,1677963788
256,provideniya,RU,19.89,97,100,7.11,64.3833,-173.3,1677963990
257,ballina,AU,68.77,99,93,5.59,-28.8667,153.5667,1677963991
258,margate,GB,42.91,83,100,1.99,51.3813,1.3862,1677963992
259,tigzirt,DZ,48.67,75,0,3.62,36.8886,4.1198,1677963992
260,kroya,ID,75.81,88,100,2.28,-7.6331,109.2461,1677963993
261,saint anthony,US,38.8,64,0,10.36,45.0205,-93.218,1677963994
262,bac lieu,VN,75.31,76,95,18.61,9.285,105.7244,1677963995
263,bikaner,IN,71.29,37,3,4.07,28.0167,73.3,1677963995
264,henties bay,NA,64.27,79,0,7.49,-22.116,14.2845,1677963996
265,cururupu,BR,76.37,95,99,3.06,-1.8283,-44.8683,1677963997
266,talcahuano,CL,73.08,46,0,17.27,-36.7167,-73.1167,1677963734
267,meadow lake,US,59.95,25,44,13.27,34.8014,-106.5436,1677963998
268,assiniboia,CA,28.22,46,6,6.91,49.6334,-105.9845,1677963999
269,lompoc,US,56.7,67,100,6.91,34.6391,-120.4579,1677963999
270,asilah,MA,57.16,69,100,6.15,35.465,-6.0348,1677964000
271,san cristobal,VE,80.78,57,89,5.5,7.7669,-72.225,1677963795
272,pychas,RU,23.29,98,100,1.7,56.5033,52.4409,1677964001
273,tucuman,AR,93.2,43,20,2.3,-26.8241,-65.2226,1677964002
274,carnarvon,AU,77.38,68,0,22.19,-24.8667,113.6333,1677964002
275,havelock,US,78.78,40,0,11.61,34.8791,-76.9013,1677964003
276,christchurch,NZ,55.9,92,75,5.75,-43.5333,172.6333,1677964003
277,karratha,AU,84.2,74,85,11.99,-20.7377,116.8463,1677964004
278,muisne,EC,77.22,89,97,2.62,0.6,-80.0333,1677964004
279,aklavik,CA,-18.24,92,17,5.66,68.2191,-135.0107,1677964005
280,lander,US,22.1,62,0,4.61,42.833,-108.7307,1677963814
281,noumea,NC,80.58,99,41,12.8,-22.2763,166.4572,1677964005
282,stykkisholmur,IS,36.73,93,100,7.7,65.0757,-22.7297,1677964006
283,troy,US,44.24,61,0,8.05,42.6056,-83.1499,1677964006
284,lagoa,PT,57.99,78,100,26.84,39.05,-27.9833,1677964007
285,abu samrah,SY,53.71,65,0,6.22,35.3029,37.1841,1677964007
286,spencer,US,39.74,68,0,14.97,43.1414,-95.1444,1677964008
287,kyren,RU,22.8,96,100,2.59,51.6828,102.1408,1677964009
288,rudbar,AF,69.8,35,55,7.76,30.15,62.6,1677964009
289,callaway,US,78.91,56,0,13.8,30.153,-85.5699,1677964009
290,kota tinggi,MY,79.2,79,100,3.65,1.7381,103.8999,1677964010
291,anuradhapura,LK,73.0,95,95,4.27,8.3565,80.4173,1677964010
292,estelle,US,75.99,40,20,4.0,29.8458,-90.1067,1677964011
293,talnakh,RU,-8.39,100,100,2.24,69.4865,88.3972,1677964011
294,xinmin,CN,35.19,73,0,8.41,41.9908,122.8253,1677964012
295,airai,TL,58.53,93,100,2.62,-8.9266,125.4092,1677964012
296,mauriti,BR,84.88,41,99,1.72,-7.3892,-38.7744,1677964013
297,kenai,US,17.69,52,0,4.61,60.5544,-151.2583,1677964014
298,kavaratti,IN,81.64,58,0,3.6,10.5669,72.642,1677964015
299,robat karim,IR,58.86,54,40,9.22,35.4846,51.0829,1677964015
300,sassandra,CI,79.29,86,41,4.52,4.95,-6.0833,1677964015
301,lodja,CD,75.94,69,100,0.87,-3.4833,23.4333,1677964016
302,dwarahat,IN,50.56,47,5,4.09,29.7833,79.4333,1677964016
303,hailey,US,27.9,78,100,0.0,43.5196,-114.3153,1677963504
304,milkovo,RU,-13.02,89,9,3.29,54.7167,158.6167,1677964017
305,saint-francois,FR,36.97,80,15,2.3,46.4154,3.9054,1677964018
306,labrea,BR,86.05,69,92,4.09,-7.2586,-64.7981,1677964018
307,juneau,US,33.8,73,20,18.41,58.3019,-134.4197,1677964019
308,huaicheng,CN,58.05,47,0,1.83,23.9051,112.1931,1677963922
309,esna,EG,78.55,11,76,3.65,25.2934,32.554,1677964020
310,ha tinh,VN,62.92,95,27,4.41,18.3333,105.9,1677963754
311,pilar,BR,80.53,71,4,8.61,-9.5972,-35.9567,1677964020
312,west plains,US,59.97,63,11,4.0,36.7281,-91.8524,1677964021
313,buraydah,SA,75.65,22,72,11.03,26.326,43.975,1677963781
314,kupang,ID,76.77,85,100,7.65,-10.1667,123.5833,1677964022
315,vila velha,BR,80.94,79,0,13.8,-20.3297,-40.2925,1677964022
316,masterton,NZ,58.46,87,100,3.71,-40.9597,175.6575,1677963924
317,cayenne,GF,80.64,78,75,13.8,4.9333,-52.3333,1677964024
318,dasoguz,TM,56.01,38,90,9.48,41.8363,59.9666,1677964025
319,keokuk,US,58.08,58,75,12.66,40.3973,-91.3849,1677964000
320,empalme,MX,79.92,43,0,20.71,27.9667,-110.8167,1677964026
321,cabo san lucas,MX,76.6,56,0,3.44,22.8909,-109.9124,1677963987
322,otorohanga,NZ,68.32,82,73,1.81,-38.1833,175.2,1677964027
323,coahuayana,MX,85.57,46,71,7.9,18.7333,-103.6833,1677964028
324,kysyl-syr,RU,-0.18,98,95,5.93,63.8986,122.7617,1677964029
325,pevek,RU,-26.72,94,100,4.72,69.7008,170.3133,1677964030
326,makakilo city,US,79.12,59,20,10.36,21.3469,-158.0858,1677964030
327,karasburg,NA,62.28,63,0,17.27,-28.0167,18.75,1677964031
328,shache,CN,46.94,36,100,5.1,38.4167,77.2406,1677964032
329,acarau,BR,80.28,82,91,13.65,-2.8856,-40.12,1677964032
330,tweed,CA,38.23,91,100,4.79,44.4751,-77.3162,1677964034
331,nikolayevsk-na-amure,RU,16.29,91,100,4.41,53.1406,140.73,1677964035
332,ust-nera,RU,-17.52,99,100,4.18,64.5667,143.2,1677964036
333,krasnaya poyma,RU,25.75,96,98,7.36,55.0014,39.08,1677964037
334,horsham,GB,42.64,72,75,4.61,51.064,-0.3272,1677964037
335,saldanha,ZA,65.35,89,100,8.12,-33.0117,17.9442,1677964039
336,rio verde de mato grosso,BR,78.89,83,71,7.16,-18.9181,-54.8442,1677964039
337,campeche,MX,95.72,36,36,7.27,19.0,-90.5,1677964041
338,polunochnoye,RU,12.7,98,100,3.51,60.8697,60.4153,1677964041
339,kruisfontein,ZA,68.88,89,0,3.89,-34.0033,24.7314,1677964042
340,okhotsk,RU,-10.37,99,100,6.29,59.3833,143.3,1677964043
341,zacatepec,MX,92.64,18,3,3.09,18.65,-99.2,1677964043
342,broken hill,AU,71.4,32,0,1.81,-31.95,141.4333,1677964045
343,hambantota,LK,76.95,85,99,13.67,6.1241,81.1185,1677964046
344,umm kaddadah,SD,73.67,10,5,12.44,13.6017,26.6876,1677964047
345,mnogovershinnyy,RU,12.83,91,100,7.18,53.9353,139.9242,1677964048
346,asau,RO,38.32,83,9,5.57,46.4333,26.4,1677964048
347,tilichiki,RU,-28.84,96,15,6.89,60.4667,166.1,1677964049
348,mumford,GH,81.41,83,71,8.37,5.2618,-0.759,1677964049
349,clinton,US,44.62,98,100,8.01,42.587,-82.9199,1677964050
350,maniitsoq,GL,31.48,81,7,5.91,65.4167,-52.9,1677964051
351,menongue,AO,68.05,78,88,4.27,-14.6585,17.691,1677964051
352,nizhnyaya tavda,RU,17.24,96,100,7.58,57.6731,66.1725,1677964052
353,broome,US,36.28,83,100,11.5,42.2506,-75.833,1677964053
354,xining,CN,33.42,30,0,2.21,36.6167,101.7667,1677964053
355,lalibela,ET,64.85,57,58,6.31,12.0333,39.0333,1677964054
356,minot,US,35.82,55,0,13.8,48.2325,-101.2963,1677963780
357,caucaia,BR,83.03,75,20,6.91,-3.7361,-38.6531,1677964026
358,pacific grove,US,55.42,71,100,20.71,36.6177,-121.9166,1677964056
359,seoul,KR,31.6,93,20,3.44,37.5683,126.9778,1677963886
360,helena,US,35.17,37,0,13.8,46.5927,-112.0361,1677963806
361,walvis bay,NA,65.08,75,0,11.81,-22.9575,14.5053,1677964057
362,waingapu,ID,76.03,86,98,6.13,-9.6567,120.2641,1677964058
363,faya,SA,55.92,56,28,4.0,18.3851,42.4509,1677964059
364,vao,NC,76.51,78,75,18.86,-22.6667,167.4833,1677964059
365,sfantu gheorghe,RO,36.93,82,15,4.29,45.8667,25.7833,1677964060
366,sibolga,ID,74.57,91,99,2.55,1.7427,98.7792,1677964061
367,luau,AO,65.07,92,100,2.13,-10.7073,22.2247,1677963860
368,imbituba,BR,81.12,81,83,5.41,-28.24,-48.6703,1677963968
